SPO_13,OVP_13,FPO_13,BZO_13,GRUNE_13,FRANK_13,NEOS_13,SONST_13,NW_13,SPO_17,OVP_17,FPO_17,GRUNE_17,NEOS_17,PILZ_17,SONST_17,NW_17
393,359,263,247,113,87,21,11,791,344,528,544,23,68,42,25,749
382,207,188,152,190,77,55,16,704,400,375,345,42,79,66,29,624
520,309,292,161,214,97,53,20,642,495,505,512,44,68,74,31,607
371,329,206,196,346,117,117,20,944,386,638,374,83,164,92,34,915
371,147,158,96,131,54,28,16,495,347,271,291,35,38,47,22,430
333,191,230,162,186,66,59,22,634,325,411,401,36,91,72,32,601
598,368,332,263,338,135,87,15,1052,583,660,620,67,108,112,32,958
161,150,97,79,120,67,49,12,477,162,289,158,29,59,47,20,508
664,451,380,253,316,146,80,39,1294,596,687,820,57,118,76,30,1243
260,323,186,157,189,99,89,17,809,265,521,346,31,105,61,24,797
565,245,312,251,153,133,45,15,766,527,580,667,34,74,44,31,588
220,127,38,131,40,24,16,6,288,198,191,177,7,15,10,7,279
384,190,247,152,140,90,53,12,706,352,393,425,19,47,62,23,620
364,190,226,122,99,98,32,12,604,343,296,399,22,32,32,22,611
177,47,20,8,80,12,14,7,152,169,75,26,11,19,29,4,178
620,282,293,224,187,97,63,24,845,594,526,623,32,59,88,37,795
906,329,445,329,178,154,73,32,1378,774,577,937,32,93,67,32,1293
598,195,322,203,117,95,49,21,774,497,376,586,13,39,30,19,682
111,94,136,60,16,28,5,3,336,85,139,278,2,3,5,5,247
189,146,166,158,34,55,16,9,356,151,208,334,12,24,14,17,297
672,304,417,806,157,133,42,23,1765,692,719,1107,36,91,65,32,1495
119,113,83,53,9,14,8,8,310,102,129,178,3,11,3,2,253
212,174,192,123,45,37,8,7,249,201,231,321,13,18,11,5,239
248,152,169,111,68,51,26,5,393,230,266,265,13,34,28,6,333
351,96,222,115,27,18,5,15,480,278,152,357,3,12,11,13,396
320,360,169,134,69,61,22,8,445,246,409,380,9,46,22,16,466
297,220,226,178,54,55,19,11,531,288,288,454,10,37,28,14,412
572,249,286,225,162,106,52,22,963,567,462,623,37,70,49,38,785
266,333,257,197,57,52,24,15,556,236,413,474,9,27,19,18,500
231,69,86,119,33,29,11,8,307,202,120,174,3,21,14,8,319
174,83,205,163,59,33,13,10,361,147,169,370,16,21,15,11,334
653,253,355,291,203,129,64,21,1005,605,482,750,25,99,87,29,880
2273,658,1020,815,628,352,188,63,4069,2159,1355,2136,111,227,190,108,3606
241,267,312,188,52,40,21,10,621,219,356,556,6,38,23,15,477
290,313,297,135,45,70,18,7,601,243,394,525,15,20,26,6,515
534,282,376,289,252,101,76,23,1008,541,595,714,49,108,74,31,813
184,144,194,119,90,98,50,6,474,167,260,306,12,35,26,2,512
380,122,224,104,53,78,46,6,530,310,199,433,5,19,18,12,537
192,229,88,58,74,62,29,5,365,173,343,154,16,27,12,14,328
286,179,123,83,107,62,30,11,511,245,317,238,12,40,19,8,463
106,204,225,80,64,60,23,3,367,103,292,299,12,28,18,13,318
162,64,126,106,38,102,13,6,363,148,192,261,5,20,11,5,334
419,215,324,173,139,71,58,14,729,393,398,475,32,66,26,19,710
218,235,212,88,79,68,34,8,486,210,293,357,20,38,23,21,424
118,171,87,51,53,43,15,4,343,82,243,175,4,27,23,8,296
383,244,177,65,113,71,18,17,537,355,398,329,14,54,18,19,442
247,170,113,49,64,40,14,7,303,229,210,201,11,32,12,5,274
307,206,200,83,70,75,47,10,434,259,279,381,12,33,27,10,428
273,75,47,49,25,13,4,1,193,197,105,91,6,18,10,5,209
337,145,283,122,88,60,43,1,605,304,246,457,19,24,23,13,592
361,342,290,207,257,131,113,18,1024,435,574,511,46,87,53,33,1023
66,111,100,73,28,37,7,6,250,61,168,203,5,7,14,12,210
183,61,161,35,29,26,20,9,271,166,70,277,3,12,13,6,284
189,153,89,56,58,57,9,6,389,170,240,187,16,9,14,4,326
286,211,243,159,78,119,36,12,749,250,374,439,17,43,13,13,672
1028,321,681,348,329,320,137,58,1873,1036,796,1158,44,113,89,59,1602
217,150,227,91,42,62,10,2,584,186,228,393,11,22,11,13,502
299,307,205,86,81,59,43,4,433,234,340,394,15,24,17,9,457
198,85,180,60,35,64,40,9,377,173,162,313,7,20,17,9,320
666,501,659,350,361,276,251,35,1981,753,1021,1147,74,187,82,50,1831
2325,870,1380,669,772,882,516,88,4566,2466,1810,2657,146,309,274,119,4143
233,131,210,233,24,51,12,2,469,176,213,414,5,11,15,9,472
423,183,268,86,79,63,41,7,553,376,291,386,16,31,27,16,543
168,178,143,63,44,38,31,6,343,140,211,236,5,25,12,6,323
69,144,57,35,51,36,32,5,202,57,195,106,9,24,8,6,223
169,88,141,70,46,41,26,2,404,139,172,225,9,25,16,4,395
203,201,202,120,44,75,26,4,653,185,311,409,4,23,19,10,522
402,192,243,158,131,89,87,6,808,382,359,503,18,64,35,26,766
487,160,190,150,85,87,65,7,612,414,275,451,18,39,31,19,548
291,84,220,84,79,52,22,10,384,255,145,348,14,26,23,17,368
1468,338,653,324,291,218,93,54,1901,1276,726,1244,49,115,105,59,1707
184,113,213,73,67,53,20,3,455,161,185,362,9,20,14,9,393
593,83,211,179,84,78,27,21,706,503,180,457,21,41,37,24,619
119,102,61,28,28,18,7,6,158,93,124,132,4,17,8,2,134
165,67,177,82,68,46,20,8,324,167,152,267,8,18,17,8,274
483,109,322,87,89,86,44,23,607,439,208,505,25,33,34,16,521
1540,578,763,442,526,310,175,52,2481,1504,1266,1481,119,203,152,80,2163
243,86,227,75,60,43,20,6,326,251,130,333,7,17,19,11,272
137,117,71,45,36,26,19,4,196,163,158,105,5,15,8,6,192
511,185,244,72,129,86,29,10,587,437,352,424,22,41,29,27,519
1087,363,675,311,317,304,162,47,1549,1053,777,1266,50,134,104,78,1311
276,123,183,119,114,80,33,14,548,305,251,368,23,32,43,29,430
1032,205,342,184,275,170,62,35,1219,988,436,628,62,78,88,56,1104
288,154,235,71,69,92,38,14,404,255,230,412,10,28,21,23,336
633,303,457,239,263,159,126,28,1360,635,565,755,70,94,98,62,1273
1231,590,767,529,530,364,196,52,2748,1274,1269,1436,82,218,190,74,2436
708,189,355,154,150,132,57,17,750,607,370,640,22,64,62,36,672
976,302,572,284,306,232,91,33,1480,875,709,1096,68,104,103,48,1332
704,362,315,198,213,123,46,26,1106,682,596,547,40,75,69,46,1007
138,148,59,65,25,24,3,1,197,122,163,166,7,12,9,11,152
1308,416,478,323,280,206,61,32,1688,1089,821,1012,77,101,75,47,1500
642,182,142,80,148,67,38,28,610,576,271,264,21,78,35,27,554
468,127,146,88,183,77,31,19,535,443,269,351,58,51,42,26,448
345,163,179,117,106,62,31,11,455,314,337,339,20,27,34,12,349
317,106,108,50,193,68,17,16,457,343,197,250,36,42,29,20,406
522,449,358,224,124,127,44,22,951,459,650,724,27,57,47,29,820
173,109,97,80,39,41,8,10,349,154,174,199,13,11,12,6,323
324,150,147,85,40,54,16,10,440,289,222,304,12,24,11,13,369
727,390,342,235,267,187,85,40,1130,647,694,693,55,111,88,47,1079
415,172,181,96,117,82,36,18,609,398,268,310,21,59,35,9,555
2104,886,968,638,540,426,134,59,3102,1851,1553,1993,121,214,176,80,2746
842,501,592,229,167,114,42,18,1159,754,753,923,35,73,52,20,1019
534,297,332,137,71,91,27,17,705,393,439,528,8,49,25,14,628
674,255,360,162,70,118,15,18,899,572,389,662,8,24,43,18,724
146,155,135,71,22,37,14,3,263,131,226,207,7,15,8,7,186
309,222,228,128,61,55,18,6,516,270,329,376,12,34,16,15,451
1918,690,1277,580,294,432,95,57,3108,1501,1317,2406,48,147,110,73,2695
387,133,273,86,59,113,11,8,588,295,287,509,7,27,18,10,510
599,274,460,226,125,141,31,17,944,529,523,736,25,55,37,15,826
4820,1700,2896,1372,1082,929,342,152,7075,4100,3824,5035,178,483,440,200,6064
104,109,139,60,25,48,7,2,357,93,167,233,7,13,10,2,276
2085,870,1458,913,696,603,243,73,4711,1951,1924,2798,115,289,261,114,4068
